symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
NQU3,-2,0,0.25,17923522446,17923522364,2,15535.25,15529.50,$(230.00),09/05/2023 13:14:16,09/05/2023 13:11:01,3min 15sec
NQU3,-2,0,0.25,17923522446,17923522411,8,15535.25,15537.00,$280.00,09/05/2023 13:14:16,09/05/2023 13:13:54,22sec
NQU3,-2,0,0.25,17923522496,17923522459,2,15529.50,15529.25,$(10.00),09/05/2023 13:29:44,09/05/2023 13:27:36,2min 7sec
NQU3,-2,0,0.25,17923522523,17923522507,1,15544.75,15546.50,$35.00,09/05/2023 14:08:05,09/05/2023 14:07:41,23sec
NQU3,-2,0,0.25,17923522531,17923522507,9,15545.00,15546.50,$270.00,09/05/2023 14:08:05,09/05/2023 14:07:41,23sec
MNQU3,-2,0,0.25,17923522561,17923522551,2,15362.75,15363.50,$3.00,09/06/2023 15:02:00,09/06/2023 15:01:57,2sec
NQU3,-2,0,0.25,17923522577,17923522610,2,15243.00,15244.50,$60.00,09/07/2023 10:40:24,09/07/2023 10:40:37,13sec
NQU3,-2,0,0.25,17923522624,17923522648,1,15254.75,15256.25,$30.00,09/07/2023 10:40:52,09/07/2023 10:41:40,48sec
NQU3,-2,0,0.25,17923522624,17923522656,1,15254.75,15256.25,$30.00,09/07/2023 10:40:52,09/07/2023 10:41:40,48sec
NQU3,-2,0,0.25,17923522667,17923522690,2,15263.50,15264.25,$30.00,09/07/2023 10:41:47,09/07/2023 10:42:03,15sec
NQU3,-2,0,0.25,17923522704,17923522736,2,15268.00,15273.50,$220.00,09/07/2023 10:43:10,09/07/2023 10:43:35,25sec
NQU3,-2,0,0.25,17923522750,17923522766,6,15272.25,15269.00,$(390.00),09/07/2023 10:44:56,09/07/2023 10:45:09,12sec
NQU3,-2,0,0.25,17923522750,17923522774,2,15272.25,15269.00,$(130.00),09/07/2023 10:44:56,09/07/2023 10:45:09,12sec
NQU3,-2,0,0.25,17923522750,17923522782,2,15272.25,15268.75,$(140.00),09/07/2023 10:44:56,09/07/2023 10:45:09,12sec
NQU3,-2,0,0.25,17923522796,17923522825,10,15273.50,15276.75,$650.00,09/07/2023 10:45:28,09/07/2023 10:45:41,13sec
NQU3,-2,0,0.25,17923522867,17923522836,2,15235.50,15236.00,$20.00,09/07/2023 10:56:47,09/07/2023 10:55:13,1min 33sec
NQU3,-2,0,0.25,17923522918,17923522881,2,15260.50,15260.50,$0.00,09/07/2023 11:13:48,09/07/2023 11:12:45,1min 2sec
NQU3,-2,0,0.25,17923522957,17923522929,2,15250.00,15258.50,$340.00,09/07/2023 11:14:06,09/07/2023 11:13:55,10sec
NQU3,-2,0,0.25,17923522968,17923523033,2,15270.25,15247.25,$(920.00),09/07/2023 11:17:22,09/07/2023 11:19:15,1min 53sec
NQU3,-2,0,0.25,17923523060,17923523044,1,15247.75,15248.25,$10.00,09/07/2023 11:19:28,09/07/2023 11:19:19,8sec
NQU3,-2,0,0.25,17923523068,17923523044,9,15248.00,15248.25,$45.00,09/07/2023 11:19:28,09/07/2023 11:19:19,8sec
NQU3,-2,0,0.25,17923523082,17923523114,1,15251.00,15252.00,$20.00,09/07/2023 11:19:56,09/07/2023 11:20:13,17sec
NQU3,-2,0,0.25,17923523082,17923523122,9,15251.00,15251.75,$135.00,09/07/2023 11:19:56,09/07/2023 11:20:13,17sec
NQU3,-2,0,0.25,17923523156,17923523136,3,15246.25,15247.00,$45.00,09/07/2023 11:21:37,09/07/2023 11:21:12,24sec
NQU3,-2,0,0.25,17923523164,17923523136,1,15246.25,15247.00,$15.00,09/07/2023 11:21:38,09/07/2023 11:21:12,26sec
NQU3,-2,0,0.25,17923523172,17923523136,6,15246.50,15247.00,$60.00,09/07/2023 11:21:39,09/07/2023 11:21:12,26sec
NQU3,-2,0,0.25,17923523207,17923523186,10,15238.50,15242.00,$700.00,09/07/2023 11:21:57,09/07/2023 11:21:48,9sec
NQU3,-2,0,0.25,17923523233,17923523218,10,15234.50,15236.00,$300.00,09/07/2023 11:22:28,09/07/2023 11:22:24,3sec
NQU3,-2,0,0.25,17923523272,17923523244,10,15226.75,15229.50,$550.00,09/07/2023 11:24:19,09/07/2023 11:23:58,21sec
NQU3,-2,0,0.25,17923523283,17923523308,10,15246.00,15246.00,$0.00,09/07/2023 11:33:14,09/07/2023 11:33:42,28sec
NQU3,-2,0,0.25,17923523319,17923523328,10,15252.00,15256.50,$900.00,09/07/2023 11:34:11,09/07/2023 11:34:14,2sec
NQU3,-2,0,0.25,17923523339,17923523348,10,15264.25,15264.75,$100.00,09/07/2023 11:36:43,09/07/2023 11:36:50,7sec
NQU3,-2,0,0.25,17923523368,17923523359,10,15253.50,15250.50,$(600.00),09/07/2023 11:39:11,09/07/2023 11:39:07,3sec
NQU3,-2,0,0.25,17923523399,17923523379,1,15247.50,15248.50,$20.00,09/07/2023 11:40:32,09/07/2023 11:40:09,23sec
